id;nda;Promotoria de Justiça;Comarca;Endereço;Sala;e-mail;Telefones;Celular;Situação;Titular;Motivo Afastamento Titular DG;Responsável Atual;Entrância;Atribuições;Resolução;url_resolucao;Coord_PJs
11;.;11ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;11promotoria@mpgo.mp.br;;;PROVIDA;Henrique Carlos Souza Teixeira;;;FINAL;"Atuação em matéria cível junto ao Juizado da Infância e da Juventude, além de promover o inquérito civil e a ação civil pública para a proteção dos interesses individuais, difusos ou coletivos relativos à infância e à adolescência, inclusive os definidos no artigo 220, § 3º, inciso II, da Constituição Federal e realizar visitas a entidades de acolhimento familiar e institucional, concorrentemente com a 38ª Promotoria de Justiça;";;;
12;.;12ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;12promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;Goiamilton Antônio Machado (Automático);FINAL;"Atuação em defesa e proteção ao consumidor, em casos de interesses difusos, coletivos e individuais homogêneos; defesa e proteção da livre concorrência e da ordem econômica, na esfera cível, concorrentemente com a 70ª Promotoria de Justiça;";;;
13;.;13ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;13promotoria@mpgo.mp.br;;;PROVIDA;Fausto Campos Faquineli;;;FINAL;"Atuação em matéria de competência da 2ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 2ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
14;.;14ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;14promotoria@mpgo.mp.br;;;PROVIDA;Laudelina Angélica Campanholo Amisy;;;FINAL;"Atuação em matéria de competência da 9ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 16ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
15;.;15ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;15promotoria@mpgo.mp.br;;;PROVIDA;Juliano de Barros Araújo;;;FINAL;"Atuação em defesa de interesses difusos, coletivos, individuais homogêneos, nas questões relativas ao meio ambiente, urbanismo, patrimônio histórico, turístico, estético, cultural, paisagístico e urbanísticos, nas esferas cível e criminal, concorrentemente com as 7ª, 8ª e 81ª Promotorias de Justiça;";;;
16;.;16ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;16promotoria@mpgo.mp.br;;;PROVIDA;Roberto Corrêa;;;FINAL;"Atuação em matéria de competência da 9ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 14ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
17;.;17ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;17promotoria@mpgo.mp.br;;;PROVIDA;Renata de Oliveira Marinho e Sousa;;;FINAL;"Atuação em matéria da competência da 2ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 92ª Promotoria de Justiça, e nas sessões de julgamento da 1ª e 2ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 29ª, 83ª e 92ª Promotorias de Justiça; (Vide Resolução-CPJ n. 04-, § 1º e 2º, art. 1º);";;;
18;.;18ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;18promotoria@mpgo.mp.br;;;PROVIDA;Fernando Braga Viggiano;Subprocurador-Geral de Justiça para Assuntos Jurídicos;Leonardo De Oliveira Marchezini*;FINAL;"Atuação em matéria de competência da 5ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 48ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
19;.;19ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;19promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;Leila Maria De Oliveira*;FINAL;"Atuação em matéria de competência da 1ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 43ªPromotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
20;.;20ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;20promotoria@mpgo.mp.br;;;PROVIDA;Carmem Lúcia Santana de Freitas;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 50ª, 57ª, 73ª, 78ª, 89ª e 90ª Promotorias de Justiça;";;;
21;.;21ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;21promotoria@mpgo.mp.br;;;PROVIDA;Daniel Roberto Dias do Amaral;;;FINAL;"Atuação em matéria de competência da 10ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 55ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
22;.;22ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;22promotoria@mpgo.mp.br;;;PROVIDA;Juliana Giovanini Gonçalves;;;FINAL;"Atuação perante o 2º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n.° 11.340/, concorrentemente com a 71ª Promotoria de Justiça;";;;
23;.;23ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;23promotoria@mpgo.mp.br;;;PROVIDA;Márcia Souza de Almeida;;;FINAL;"Atuação perante a 2ª Vara de Família;";;;
24;.;24ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;24promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;Maurício Gonçalves De Camargos (Automático);FINAL;"Atuação em matéria da competência da 3ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 93ª Promotoria de Justiça, e nas sessões de julgamento da 3ª e 4ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 67ª, 85ª e 93ª Promotorias de Justiça; (Vide Resolução-CPJ n. 04-, § 1º e 2º, art. 1º);";;;
25;.;25ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;25promotoria@mpgo.mp.br;;;PROVIDA;Patrícia Teixeira Guimarães Gimenes;Promotora Corregedora;Fernando Aurvalle Da Silva Krebs*;FINAL;"Atuação na área de execução penal, especificamente na execução das penas de multa; inspeção das unidades de execução penal vinculadas às varas competentes para esta matéria da Capital; promoção das medidas necessárias para a tutela dos direitos transindividuais e para as demandas estruturais ou pontuais do sistema prisional sob sua fiscalização; bem como na manifestação em autos relativos a utilização dos recursos oriundos de penas de prestação pecuniária;";;;
26;.;26ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;26promotoria@mpgo.mp.br;;;PROVIDA;Ana Maria Rodrigues da Cunha;;;FINAL;"Atuação em matéria de competência da 1ª Vara de Execução Penal, concorrentemente com a 94ª Promotoria de Justiça;";;;
27;.;27ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;27promotoria@mpgo.mp.br;;;PROVIDA;Clínio Xavier Cordeiro;Coordenador das PJs de Goiânia;Guilherme Vicente De Oliveira*;FINAL;"Atuação em matéria de competência da 12ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 54ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;Coordenador das PJs de Goiânia
28;.;28ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;28promotoria@mpgo.mp.br;;;PROVIDA;Everaldo Sebastião de Sousa;;;FINAL;"Atuação perante a 1ª Vara Criminal dos crimes apenados com detenção, crimes de trânsito, crimes contra a ordem tributária e crimes contra vítimas hipervulneráveis (Crianças e Adolescentes, Pessoas com Deficiência, Idosos) da comarca de Goiânia, concorrentemente com a 3ª Promotoria de Justiça;";;;
29;.;29ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;29promotoria@mpgo.mp.br;;;PROVIDA;Sebastião Marcos Martins;;;FINAL;"Atuação em matéria da competência da 1ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 83ª Promotoria de Justiça, e nas sessões de julgamento da 1ª e 2ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 17ª, 83ª e 92ª Promotorias de Justiça;";;;
30;.;30ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;30promotoria@mpgo.mp.br;;;PROVIDA;Vagner Jerson Garcia;;;FINAL;"Atuação na defesa da pessoa idosa, inclusive nas questões referentes à defesa do direito à saúde, concorrentemente com a 65ª Promotoria de Justiça;";;;
31;.;31ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;31promotoria@mpgo.mp.br;;;PROVIDA;José Humberto Nunes Nogueira;Coord. da AJE, com prejuízo;Nádia Maria Saab*;FINAL;"Atuação em matéria de competência da 3ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 80ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
32;.;32ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;32promotoria@mpgo.mp.br;;;PROVIDA;José Augusto de Figueiredo Falcão;;;FINAL;"Atuação em matéria de competência da Vara de Execução de Penas e Medidas Alternativas, concorrentemente com a 69ª Promotoria de Justiça;";;;
33;.;33ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;33promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;Joel Pacífico De Vasconcelos (Automático);FINAL;"Atuação em matéria de competência da 11ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 36ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
34;.;34ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;34promotoria@mpgo.mp.br;;;PROVIDA;Arnaldo Machado do Prado;Promotor Corregedor;Publius Lentulus Alves Da Rocha (Automático);FINAL;"Atuação em matéria de competência da 8ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 62ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
35;.;35ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;35promotoria@mpgo.mp.br;;;PROVIDA;Alexandre Mendes Vieira;;;FINAL;"Atuação em matéria de competência da 7ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 46ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
36;.;36ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;36promotoria@mpgo.mp.br;;;PROVIDA;Joel Pacífico de Vasconcelos;;;FINAL;"Atuação em matéria de competência da 11ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 33ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
37;.;37ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;37promotoria@mpgo.mp.br;;;PROVIDA;Roberta Pondé Amorim de Almeida;;;FINAL;"Atuação perante a 4ª Vara de Família;";;;
38;.;38ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;38promotoria@mpgo.mp.br;;;PROVIDA;Ricardo Papa;;;FINAL;"Atuação em matéria cível junto ao Juizado da Infância e da Juventude, além de promover o inquérito civil e a ação civil pública para a proteção dos interesses individuais, difusos ou coletivos relativos à infância e à adolescência, inclusive os definidos no artigo 220, § 3º, inciso II, da Constituição Federal e realizar visitas a entidades de acolhimento familiar e institucional, concorrentemente com a 11ª Promotoria de Justiça;";;;
39;.;39ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;39promotoria@mpgo.mp.br;;;PROVIDA;Marilda Helena dos Santos;;;FINAL;"Atuação na defesa da pessoa com deficiência, inclusive nas questões referentes à defesa do direito à saúde;";;;
40;.;40ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;40promotoria@mpgo.mp.br;;;PROVIDA;Marcelo André de Azevedo;Subprocurador-Geral de Justiça para Assuntos Institucionais;Laudelina Angélica Campanholo Amisy (Eventual);FINAL;"Atuação em matéria de competência da 4ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 41ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
41;.;41ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;41promotoria@mpgo.mp.br;;;PROVIDA;Lauro Machado Nogueira;;;FINAL;"Atuação em matéria de competência da 4ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 40ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
42;.;42ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;42promotoria@mpgo.mp.br;;;PROVIDA;Maria Bernadete Ramos Crispim;;;FINAL;"Atribuição para tutelar os direitos difusos, coletivos, sociais e individuais indisponíveis relativos à educação, junto aos Sistemas Municipal (Goiânia) e Estadual de Ensino, neste caso restrito ao limite territorial da comarca de Goiânia ou quando tiver repercussão regional;";;;
43;.;43ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;43promotoria@mpgo.mp.br;;;PROVIDA;Fabiano de Sousa Naves;;;FINAL;"Atuação em matéria de competência da 1ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 19ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
44;.;44ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;44promotoria@mpgo.mp.br;;;PROVIDA;Emeliana Rezende de Souza Medeiros;;;FINAL;"Atuação perante o 1º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n.° 11.340/, concorrentemente com a 63ªPromotoria de Justiça;";;;
45;.;45ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;45promotoria@mpgo.mp.br;;;PROVIDA;Susy Áurea Carvalho Pinheiro;;;FINAL;"Atuação perante a 5ª Vara de Família;";;;
46;.;46ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;46promotoria@mpgo.mp.br;;;PROVIDA;Rodney da Silva;Coordenador do Centro de Inteligência do MPGO;Alexandre Mendes Vieira (Automático);FINAL;"Atuação em matéria de competência da 7ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 35ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
47;.;47ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;47promotoria@mpgo.mp.br;;;PROVIDA;Eni Lamounier;;;FINAL;"Atuação perante a 3ª Vara de Família;";;;
48;.;48ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;48promotoria@mpgo.mp.br;;;PROVIDA;Heráclito D’Abadia Camargo;Subprocurador-Geral de Justiça para Assuntos Administrativos;Maria Cecília De Jesus Ferreira*;FINAL;"Atuação em matéria de competência da 5ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 18ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
49;.;49ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;49promotoria@mpgo.mp.br;;;PROVIDA;Anna Paula Alves David Magalhães;;;FINAL;"Atuação perante a 1ª Vara da Fazenda Pública Municipal e de Registros Públicos; atuação perante a 3ª Vara da Fazenda Pública Municipal e de Registros Públicos; atuação perante a 2ª Vara da Fazenda Pública Municipal e de Registros Públicos, concorrentemente com a 66ª Promotoria de Justiça; atuação perante o 1º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Municipal; atuação perante o 3º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Municipal, concorrentemente com a 66ª Promotoria de Justiça;";;;
50;.;50ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;50promotoria@mpgo.mp.br;;;PROVIDA;Leila Maria de Oliveira;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 57ª, 73ª, 78ª, 89ª e 90ª Promotorias de Justiça;";;;
51;.;51ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;51promotoria@mpgo.mp.br;;;PROVIDA;Gislene Silva Barbosa;;;FINAL;Atuação em procedimentos de investigação de paternidade (Lei n. 8.560/92) até a propositura da respectiva ação, bem como especificamente em procedimentos oriundos dos cartórios de registro civil de Goiânia, relativos à declaração de paternidade.;;;
52;.;52ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;52promotoria@mpgo.mp.br;;;PROVIDA;Jales Guedes Coelho Mendonça;;;FINAL;"Atuação em matéria infracional junto ao Juizado da Infância e Juventude, além de promover o inquérito civil e a ação civil pública para a proteção dos interesses individuais, difusos ou coletivos relativos à infância e à adolescência, inclusive os definidos no artigo 220, § 3º, inciso II, da Constituição Federal e realizar visitas e fiscalização de locais de internação e semiliberdade, concorrentemente com as 4ªe 75ª Promotorias de Justiça;";;;
53;.;53ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;53promotoria@mpgo.mp.br;;;PROVIDA;Marcus Antônio Ferreira Alves;;;FINAL;"Atuação na defesa do cidadão, incluindo a defesa do direito à saúde e o combate ao racismo e à discriminação racial, exceto nas questões referentes à pessoa idosa e à pessoa com deficiência; e também, em caráter subsidiário, atuação na defesa do patrimônio público quando decorrente de fatos ou atos relacionados à área da cidadania, concorrentemente com a 82ª, 87ª e 88ª Promotorias de Justiça;";;;
54;.;54ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;54promotoria@mpgo.mp.br;;;PROVIDA;Keila Marluce Borges da Silva;;;FINAL;"Atuação em matéria de competência da 12ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 27ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
55;.;55ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;55promotoria@mpgo.mp.br;;;PROVIDA;João Porto Silvério Júnior;Promotor Corregedor;Rodrigo César Bolleli*;FINAL;"Atuação em matéria de competência da 10ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 21ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
56;.;56ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;56promotoria@mpgo.mp.br;;;PROVIDA;William Cecílio Soukef Silva;;;FINAL;"Atuação perante a 1ª Vara de Família;";;;
57;.;57ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;57promotoria@mpgo.mp.br;;;PROVIDA;Miryam Belle Moraes da Silva Falcão;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 50ª, 73ª, 78ª, 89ª e 90ª Promotorias de Justiça;";;;
58;.;58ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;58promotoria@mpgo.mp.br;;;PROVIDA;Fabiana de Vasconcelos Teixeira;;;FINAL;"Atuação perante a 2ª Vara Criminal dos crimes apenados com detenção, crimes de trânsito, crimes contra a ordem tributária e crimes contra vítimas hipervulneráveis (Crianças e Adolescentes, Pessoas com Deficiência, Idosos) da comarca de Goiânia, concorrentemente com a 68ª Promotoria de Justiça;";;;
59;.;59ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;59promotoria@mpgo.mp.br;;;PROVIDA;Fernando Aurvalle da Silva Krebs;;;FINAL;"Atuação exclusiva em defesa da ordem tributária em procedimentos investigatórios, administrativos, inquéritos policiais e processos criminais sobre a matéria distribuídos para as 1ª, 2ª, 5ª, 6ª, 8ª e 10ª Varas Criminais dos crimes punidos com reclusão e 2ª Vara Criminal dos crimes apenados com detenção; visita à Delegacia Estadual de Repressão aos Crimes Contra a Ordem Tributária – DOT; atuação na tutela do patrimônio público e da probidade administrativa nas questões relativas à defesa da ordem tributária, concorrentemente com a 86ª Promotoria de Justiça;";;;
60;.;60ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;60promotoria@mpgo.mp.br;;;PROVIDA;Lívia Augusta Gomes Machado;;;FINAL;"Atuação em matéria cível da competência das 7ª, 8ª, 9ª, 10ª e 12ª Varas Cíveis não especializadas; 14ª, 15ª, 18ª e 19ª Varas Cíveis e Ambientais e atuação na 11ª Vara Cível não especializada, está em concorrência com a 61ª Promotoria de Justiça;";;;
61;.;61ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;61promotoria@mpgo.mp.br;;;PROVIDA;Umberto Machado de Oliveira;;;FINAL;"Atuação em matéria cível da competência das 1ª, 2ª, 3ª, 4ª, 5ª e 6ª Varas Cíveis não especializadas; 13ª, 16ª e 17ª Varas Cíveis e Ambientais; e atuação na 11ª Vara Cível não especializada, está em concorrência com a 60ª Promotoria de Justiça;";;;
62;.;62ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;62promotoria@mpgo.mp.br;;;PROVIDA;Publius Lentulus Alves da Rocha;;;FINAL;"Atuação em matéria de competência da 8ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 34ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
